timestamp,px,py,pz,vx,vy,vz,q0,q1,q2,q3
2026-08-09 07:52:56+00:00,2016.3461102566,-1447.153237263,-6362.3844029369,3.8628161487,-6.044986584,2.6036135703,-0.0245273045,-0.183154529,-0.461798024,0.867522573
2026-08-09 07:53:06+00:00,2054.8479942589,-1507.5118941732,-6335.9513470158,3.8374620993,-6.0265855817,2.6829216126,-0.0270835585,-0.187976475,-0.461669421,0.866482932
2026-08-09 07:53:16+00:00,2093.0939405363,-1567.6827828831,-6308.7268448925,3.8116282632,-6.0074325961,2.7619000753,-0.0296935475,-0.1928645785,-0.461496377,0.8654147225
2026-08-09 07:53:26+00:00,2131.0791624745,-1627.6583923721,-6280.7142436413,3.7853177573,-5.9875298853,2.8405391374,-0.0322562325,-0.197665069,-0.461322007,0.8643321475
2026-08-09 07:53:36+00:00,2168.7988990304,-1687.4312255003,-6251.9169927579,3.7585337612,-5.9668798011,2.9188290036,-0.0348559695,-0.202497865,-0.4611301585,0.863214141
2026-08-09 07:53:46+00:00,2206.248445888,-1746.9938344295,-6222.3386242333,3.7312795091,-5.945484775,2.9967599554,-0.0374118835,-0.2073089385,-0.4609429575,0.8620643505
2026-08-09 07:53:56+00:00,2243.4231125994,-1806.3387800135,-6191.9827780704,3.7035582942,-5.9233473397,3.0743222867,-0.040003939,-0.212137975,-0.460717794,0.860892722
2026-08-09 07:54:06+00:00,2280.31823615,-1865.4586397954,-6160.853195881,3.6753734715,-5.9004701212,3.1515063202,-0.0425753745,-0.2169300985,-0.460487231,0.859697726
2026-08-09 07:54:16+00:00,2316.9292118723,-1924.3460429876,-6128.9536994079,3.646728449,-5.8768558239,3.2283024592,-0.0451598595,-0.221752851,-0.4602465145,0.8584633985
2026-08-09 07:54:26+00:00,2353.2514507286,-1982.9936305279,-6096.2882179844,3.6176266932,-5.8525072532,3.3047011226,-0.047709581,-0.2265421915,-0.4599644775,0.8572252395
2026-08-09 07:54:36+00:00,2389.2803929541,-2041.3940628443,-6062.8607816352,3.5880717316,-5.8274273077,3.3806927617,-0.050294959,-0.2313358665,-0.4596865645,0.855945323
